edge,origin,dest,old_total,revised_total,difference,abs_difference
DC42->DC62,DC42,DC62,36808,29787,-7021,7021
DC47->DC5,DC47,DC5,46858,39890,-6968,6968
DC46->DC70,DC46,DC70,44184,37353,-6831,6831
DC44->DC5,DC44,DC5,79523,72697,-6826,6826
DC53->DC62,DC53,DC62,21530,14952,-6578,6578
DC53->DC14,DC53,DC14,19314,12808,-6506,6506
DC46->DC62,DC46,DC62,51556,45153,-6403,6403
DC43->DC62,DC43,DC62,47451,41289,-6162,6162
DC30->DC14,DC30,DC14,75606,69489,-6117,6117
DC43->DC14,DC43,DC14,48653,42891,-5762,5762
DC48->DC5,DC48,DC5,35793,30067,-5726,5726
DC69->DC8,DC69,DC8,14419,19905,5486,5486
DC31->DC10,DC31,DC10,10717,16177,5460,5460
DC26->DC5,DC26,DC5,38384,33169,-5215,5215
DC7->DC8,DC7,DC8,38343,33314,-5029,5029
DC50->DC14,DC50,DC14,33455,28487,-4968,4968
DC44->DC70,DC44,DC70,38646,33737,-4909,4909
DC38->DC35,DC38,DC35,24606,29478,4872,4872
DC5->DC4,DC5,DC4,47370,42640,-4730,4730
DC50->DC5,DC50,DC5,22721,18313,-4408,4408
DC68->DC10,DC68,DC10,9870,5604,-4266,4266
DC48->DC14,DC48,DC14,62456,58218,-4238,4238
DC7->DC62,DC7,DC62,22426,18327,-4099,4099
DC71->DC4,DC71,DC4,14370,10315,-4055,4055
DC42->DC14,DC42,DC14,31805,27752,-4053,4053
DC43->DC5,DC43,DC5,24232,20218,-4014,4014
DC51->DC14,DC51,DC14,131091,127154,-3937,3937
DC59->DC14,DC59,DC14,21647,17776,-3871,3871
DC31->DC14,DC31,DC14,8390,4623,-3767,3767
DC22->DC70,DC22,DC70,41448,37779,-3669,3669
DC30->DC5,DC30,DC5,43539,39932,-3607,3607
DC7->DC14,DC7,DC14,26102,22572,-3530,3530
DC19->DC70,DC19,DC70,12313,9212,-3101,3101
DC7->DC10,DC7,DC10,23210,20354,-2856,2856
DC31->DC62,DC31,DC62,19208,16642,-2566,2566
DC51->DC70,DC51,DC70,8555,10995,2440,2440
DC34->DC35,DC34,DC35,10686,8301,-2385,2385
DC59->DC10,DC59,DC10,20028,17666,-2362,2362
DC34->DC70,DC34,DC70,18535,16275,-2260,2260
DC42->DC5,DC42,DC5,11142,8885,-2257,2257
DC53->DC5,DC53,DC5,9325,7091,-2234,2234
DC59->DC5,DC59,DC5,8462,6236,-2226,2226
DC31->DC5,DC31,DC5,3686,1517,-2169,2169
DC55->DC4,DC55,DC4,10064,8170,-1894,1894
DC36->DC70,DC36,DC70,20008,18119,-1889,1889
DC38->DC70,DC38,DC70,51324,53212,1888,1888
DC71->DC10,DC71,DC10,4437,2588,-1849,1849
DC44->DC35,DC44,DC35,12057,10302,-1755,1755
DC34->DC8,DC34,DC8,4460,2839,-1621,1621
DC38->DC5,DC38,DC5,71935,73544,1609,1609
DC15->DC62,DC15,DC62,195052,193579,-1473,1473
DC14->DC35,DC14,DC35,10636,12072,1436,1436
DC17->DC35,DC17,DC35,3648,2338,-1310,1310
DC69->DC14,DC69,DC14,14685,15979,1294,1294
DC22->DC8,DC22,DC8,4200,3008,-1192,1192
DC17->DC5,DC17,DC5,225479,226651,1172,1172
DC10->DC70,DC10,DC70,15971,14837,-1134,1134
DC26->DC14,DC26,DC14,63737,62656,-1081,1081
DC60->DC70,DC60,DC70,5210,6288,1078,1078
DC27->DC4,DC27,DC4,2147,1080,-1067,1067
DC34->DC14,DC34,DC14,2384,1325,-1059,1059
DC17->DC70,DC17,DC70,3589,2627,-962,962
DC48->DC70,DC48,DC70,4272,3313,-959,959
DC59->DC35,DC59,DC35,8745,9701,956,956
DC36->DC8,DC36,DC8,4792,3848,-944,944
DC59->DC70,DC59,DC70,16070,15188,-882,882
DC34->DC62,DC34,DC62,2532,1659,-873,873
DC17->DC8,DC17,DC8,4321,3451,-870,870
DC25->DC70,DC25,DC70,2864,2004,-860,860
DC68->DC62,DC68,DC62,6436,5581,-855,855
DC30->DC70,DC30,DC70,3882,3040,-842,842
DC19->DC8,DC19,DC8,3736,2936,-800,800
DC48->DC8,DC48,DC8,185105,184330,-775,775
DC10->DC35,DC10,DC35,9291,8528,-763,763
DC20->DC8,DC20,DC8,3122,2368,-754,754
DC4->DC62,DC4,DC62,1149,1903,754,754
DC28->DC8,DC28,DC8,2742,2006,-736,736
DC71->DC14,DC71,DC14,2969,2240,-729,729
DC68->DC5,DC68,DC5,2653,1947,-706,706
DC19->DC35,DC19,DC35,8825,8120,-705,705
DC27->DC35,DC27,DC35,774,1450,676,676
DC5->DC14,DC5,DC14,2642,1980,-662,662
DC51->DC35,DC51,DC35,6699,6073,-626,626
DC23->DC8,DC23,DC8,3484,2881,-603,603
DC25->DC35,DC25,DC35,4127,3529,-598,598
DC14->DC4,DC14,DC4,8027,7442,-585,585
DC4->DC10,DC4,DC10,1995,1468,-527,527
DC38->DC8,DC38,DC8,2196,1672,-524,524
DC36->DC35,DC36,DC35,15386,14893,-493,493
DC56->DC70,DC56,DC70,2407,2866,459,459
DC5->DC62,DC5,DC62,3444,3010,-434,434
DC27->DC70,DC27,DC70,1210,780,-430,430
DC55->DC10,DC55,DC10,3090,2660,-430,430
DC52->DC10,DC52,DC10,1755,1344,-411,411
DC30->DC35,DC30,DC35,2027,1639,-388,388
DC15->DC4,DC15,DC4,1302,939,-363,363
DC52->DC62,DC52,DC62,1728,1387,-341,341
DC25->DC4,DC25,DC4,1620,1281,-339,339
DC4->DC8,DC4,DC8,3507,3176,-331,331
DC46->DC35,DC46,DC35,19840,19549,-291,291
DC52->DC8,DC52,DC8,5592,5302,-290,290
DC71->DC62,DC71,DC62,3707,3431,-276,276
DC34->DC10,DC34,DC10,1383,1650,267,267
DC14->DC70,DC14,DC70,8710,8452,-258,258
DC15->DC70,DC15,DC70,1149,899,-250,250
DC71->DC5,DC71,DC5,1591,1343,-248,248
DC62->DC35,DC62,DC35,1297,1049,-248,248
DC40->DC4,DC40,DC4,583,337,-246,246
DC55->DC14,DC55,DC14,963,1185,222,222
DC5->DC10,DC5,DC10,4394,4607,213,213
DC30->DC8,DC30,DC8,1125,925,-200,200
DC62->DC4,DC62,DC4,4625,4822,197,197
DC8->DC70,DC8,DC70,1073,882,-191,191
DC60->DC35,DC60,DC35,4468,4277,-191,191
DC50->DC70,DC50,DC70,480,289,-191,191
DC69->DC10,DC69,DC10,19443,19258,-185,185
DC52->DC14,DC52,DC14,1030,846,-184,184
DC55->DC5,DC55,DC5,1100,948,-152,152
DC62->DC70,DC62,DC70,675,526,-149,149
DC47->DC70,DC47,DC70,733,611,-122,122
DC68->DC14,DC68,DC14,5256,5134,-122,122
DC4->DC14,DC4,DC14,2246,2126,-120,120
DC70->DC35,DC70,DC35,426,314,-112,112
DC8->DC35,DC8,DC35,1715,1611,-104,104
DC47->DC35,DC47,DC35,935,1034,99,99
DC51->DC5,DC51,DC5,85570,85668,98,98
DC5->DC70,DC5,DC70,155,252,97,97
DC20->DC35,DC20,DC35,351,255,-96,96
DC43->DC35,DC43,DC35,543,449,-94,94
DC20->DC70,DC20,DC70,483,392,-91,91
DC47->DC4,DC47,DC4,303,219,-84,84
DC31->DC8,DC31,DC8,308,226,-82,82
DC40->DC62,DC40,DC62,353,273,-80,80
DC28->DC35,DC28,DC35,473,394,-79,79
DC40->DC10,DC40,DC10,292,215,-77,77
DC51->DC4,DC51,DC4,359,433,74,74
DC55->DC62,DC55,DC62,2677,2750,73,73
DC59->DC8,DC59,DC8,134,206,72,72
DC62->DC3,DC62,DC3,71,141,70,70
DC56->DC35,DC56,DC35,7,73,66,66
DC28->DC70,DC28,DC70,418,358,-60,60
DC48->DC35,DC48,DC35,414,467,53,53
DC53->DC4,DC53,DC4,342,289,-53,53
DC34->DC5,DC34,DC5,390,339,-51,51
DC43->DC4,DC43,DC4,255,208,-47,47
DC15->DC35,DC15,DC35,540,584,44,44
DC4->DC5,DC4,DC5,325,289,-36,36
DC42->DC70,DC42,DC70,1351,1385,34,34
DC40->DC14,DC40,DC14,290,256,-34,34
DC44->DC4,DC44,DC4,526,494,-32,32
DC42->DC35,DC42,DC35,990,960,-30,30
DC55->DC8,DC55,DC8,48,19,-29,29
DC40->DC5,DC40,DC5,231,203,-28,28
DC69->DC5,DC69,DC5,673,699,26,26
DC5->DC8,DC5,DC8,210,185,-25,25
DC7->DC5,DC7,DC5,4234,4210,-24,24
DC42->DC4,DC42,DC4,207,184,-23,23
DC71->DC8,DC71,DC8,102,80,-22,22
DC52->DC5,DC52,DC5,1527,1506,-21,21
DC50->DC35,DC50,DC35,232,249,17,17
DC46->DC4,DC46,DC4,121,105,-16,16
DC60->DC4,DC60,DC4,493,477,-16,16
DC35->DC70,DC35,DC70,438,453,15,15
DC50->DC4,DC50,DC4,90,77,-13,13
DC48->DC4,DC48,DC4,185,176,-9,9
DC8->DC3,DC8,DC3,244,236,-8,8
DC68->DC4,DC68,DC4,133,141,8,8
DC43->DC70,DC43,DC70,203,210,7,7
DC26->DC4,DC26,DC4,254,247,-7,7
DC68->DC70,DC68,DC70,6,1,-5,5
DC34->DC4,DC34,DC4,87,88,1,1
DC31->DC70,DC31,DC70,13,12,-1,1
DC69->DC4,DC69,DC4,5,6,1,1
DC5->DC35,DC5,DC35,3,4,1,1
DC23->DC34,DC23,DC34,0,0,0,0
DC23->DC36,DC23,DC36,0,0,0,0
DC23->DC40,DC23,DC40,0,0,0,0
DC23->DC6,DC23,DC6,0,0,0,0
DC23->DC64,DC23,DC64,0,0,0,0
DC23->DC65,DC23,DC65,0,0,0,0
DC23->DC81,DC23,DC81,0,0,0,0
DC23->DC9,DC23,DC9,0,0,0,0
DC24->DC10,DC24,DC10,0,0,0,0
DC24->DC14,DC24,DC14,0,0,0,0
DC24->DC3,DC24,DC3,0,0,0,0
DC24->DC4,DC24,DC4,0,0,0,0
DC24->DC5,DC24,DC5,0,0,0,0
DC24->DC62,DC24,DC62,0,0,0,0
DC24->DC8,DC24,DC8,0,0,0,0
DC24->DC9,DC24,DC9,0,0,0,0
DC25->DC12,DC25,DC12,0,0,0,0
DC25->DC32,DC25,DC32,0,0,0,0
DC25->DC33,DC25,DC33,0,0,0,0
DC25->DC34,DC25,DC34,0,0,0,0
DC25->DC40,DC25,DC40,0,0,0,0
DC25->DC64,DC25,DC64,0,0,0,0
DC25->DC65,DC25,DC65,0,0,0,0
DC25->DC76,DC25,DC76,0,0,0,0
DC25->DC81,DC25,DC81,0,0,0,0
DC26->DC12,DC26,DC12,0,0,0,0
DC26->DC3,DC26,DC3,0,0,0,0
DC26->DC32,DC26,DC32,0,0,0,0
DC26->DC34,DC26,DC34,0,0,0,0
DC26->DC35,DC26,DC35,0,0,0,0
DC26->DC40,DC26,DC40,0,0,0,0
DC26->DC64,DC26,DC64,0,0,0,0
DC26->DC65,DC26,DC65,0,0,0,0
DC26->DC70,DC26,DC70,0,0,0,0
DC26->DC81,DC26,DC81,0,0,0,0
DC27->DC3,DC27,DC3,0,0,0,0
DC27->DC32,DC27,DC32,0,0,0,0
DC27->DC34,DC27,DC34,0,0,0,0
DC27->DC40,DC27,DC40,0,0,0,0
DC27->DC64,DC27,DC64,0,0,0,0
DC27->DC65,DC27,DC65,0,0,0,0
DC27->DC9,DC27,DC9,0,0,0,0
DC28->DC12,DC28,DC12,0,0,0,0
DC28->DC20,DC28,DC20,0,0,0,0
DC28->DC23,DC28,DC23,0,0,0,0
DC28->DC32,DC28,DC32,0,0,0,0
DC28->DC34,DC28,DC34,0,0,0,0
DC28->DC40,DC28,DC40,0,0,0,0
DC28->DC64,DC28,DC64,0,0,0,0
DC28->DC65,DC28,DC65,0,0,0,0
DC28->DC81,DC28,DC81,0,0,0,0
DC28->DC9,DC28,DC9,0,0,0,0
DC29->DC36,DC29,DC36,0,0,0,0
DC29->DC9,DC29,DC9,0,0,0,0
DC3->DC10,DC3,DC10,0,0,0,0
DC3->DC12,DC3,DC12,0,0,0,0
DC3->DC14,DC3,DC14,0,0,0,0
DC3->DC19,DC3,DC19,0,0,0,0
DC3->DC21,DC3,DC21,0,0,0,0
DC3->DC22,DC3,DC22,0,0,0,0
DC3->DC23,DC3,DC23,0,0,0,0
DC3->DC28,DC3,DC28,0,0,0,0
DC3->DC30,DC3,DC30,0,0,0,0
DC3->DC35,DC3,DC35,0,0,0,0
DC3->DC36,DC3,DC36,0,0,0,0
DC3->DC38,DC3,DC38,0,0,0,0
DC3->DC4,DC3,DC4,0,0,0,0
DC3->DC40,DC3,DC40,0,0,0,0
DC3->DC5,DC3,DC5,0,0,0,0
DC3->DC8,DC3,DC8,0,0,0,0
DC3->DC9,DC3,DC9,0,0,0,0
DC30->DC12,DC30,DC12,0,0,0,0
DC30->DC23,DC30,DC23,0,0,0,0
DC30->DC3,DC30,DC3,0,0,0,0
DC30->DC32,DC30,DC32,0,0,0,0
DC30->DC34,DC30,DC34,0,0,0,0
DC30->DC40,DC30,DC40,0,0,0,0
DC30->DC64,DC30,DC64,0,0,0,0
DC30->DC65,DC30,DC65,0,0,0,0
DC30->DC67,DC30,DC67,0,0,0,0
DC30->DC81,DC30,DC81,0,0,0,0
DC30->DC9,DC30,DC9,0,0,0,0
DC31->DC12,DC31,DC12,0,0,0,0
DC31->DC3,DC31,DC3,0,0,0,0
DC31->DC32,DC31,DC32,0,0,0,0
DC31->DC34,DC31,DC34,0,0,0,0
DC31->DC35,DC31,DC35,8,8,0,0
DC31->DC37,DC31,DC37,0,0,0,0
DC31->DC40,DC31,DC40,0,0,0,0
DC31->DC64,DC31,DC64,0,0,0,0
DC31->DC65,DC31,DC65,0,0,0,0
DC31->DC76,DC31,DC76,0,0,0,0
DC31->DC9,DC31,DC9,0,0,0,0
DC32->DC10,DC32,DC10,0,0,0,0
DC32->DC12,DC32,DC12,0,0,0,0
DC32->DC14,DC32,DC14,0,0,0,0
DC32->DC35,DC32,DC35,0,0,0,0
DC32->DC40,DC32,DC40,0,0,0,0
DC32->DC70,DC32,DC70,0,0,0,0
DC33->DC10,DC33,DC10,0,0,0,0
DC33->DC14,DC33,DC14,0,0,0,0
DC33->DC3,DC33,DC3,0,0,0,0
DC33->DC4,DC33,DC4,0,0,0,0
DC33->DC5,DC33,DC5,0,0,0,0
DC33->DC62,DC33,DC62,0,0,0,0
DC33->DC65,DC33,DC65,0,0,0,0
DC33->DC8,DC33,DC8,0,0,0,0
DC33->DC9,DC33,DC9,0,0,0,0
DC34->DC12,DC34,DC12,0,0,0,0
DC34->DC3,DC34,DC3,0,0,0,0
DC34->DC30,DC34,DC30,0,0,0,0
DC34->DC32,DC34,DC32,0,0,0,0
DC34->DC40,DC34,DC40,0,0,0,0
DC34->DC64,DC34,DC64,0,0,0,0
DC34->DC67,DC34,DC67,0,0,0,0
DC34->DC9,DC34,DC9,0,0,0,0
DC35->DC10,DC35,DC10,0,0,0,0
DC35->DC12,DC35,DC12,0,0,0,0
DC35->DC14,DC35,DC14,0,0,0,0
DC35->DC17,DC35,DC17,0,0,0,0
DC35->DC23,DC35,DC23,0,0,0,0
DC35->DC3,DC35,DC3,0,0,0,0
DC35->DC30,DC35,DC30,0,0,0,0
DC35->DC32,DC35,DC32,0,0,0,0
DC35->DC34,DC35,DC34,0,0,0,0
DC35->DC36,DC35,DC36,0,0,0,0
DC35->DC4,DC35,DC4,0,0,0,0
DC35->DC40,DC35,DC40,0,0,0,0
DC35->DC5,DC35,DC5,0,0,0,0
DC35->DC62,DC35,DC62,0,0,0,0
DC35->DC67,DC35,DC67,0,0,0,0
DC35->DC8,DC35,DC8,0,0,0,0
DC35->DC9,DC35,DC9,0,0,0,0
DC36->DC12,DC36,DC12,0,0,0,0
DC36->DC20,DC36,DC20,0,0,0,0
DC36->DC23,DC36,DC23,0,0,0,0
DC36->DC29,DC36,DC29,0,0,0,0
DC36->DC32,DC36,DC32,0,0,0,0
DC36->DC33,DC36,DC33,0,0,0,0
DC36->DC34,DC36,DC34,0,0,0,0
DC36->DC40,DC36,DC40,0,0,0,0
DC36->DC64,DC36,DC64,0,0,0,0
DC36->DC65,DC36,DC65,0,0,0,0
DC36->DC81,DC36,DC81,0,0,0,0
DC36->DC9,DC36,DC9,0,0,0,0
DC37->DC10,DC37,DC10,0,0,0,0
DC37->DC14,DC37,DC14,0,0,0,0
DC37->DC3,DC37,DC3,0,0,0,0
DC37->DC4,DC37,DC4,0,0,0,0
DC37->DC5,DC37,DC5,0,0,0,0
DC37->DC54,DC37,DC54,0,0,0,0
DC37->DC62,DC37,DC62,0,0,0,0
DC37->DC8,DC37,DC8,0,0,0,0
DC37->DC9,DC37,DC9,0,0,0,0
DC38->DC12,DC38,DC12,0,0,0,0
DC38->DC22,DC38,DC22,0,0,0,0
DC38->DC32,DC38,DC32,0,0,0,0
DC38->DC34,DC38,DC34,0,0,0,0
DC38->DC40,DC38,DC40,0,0,0,0
DC38->DC64,DC38,DC64,0,0,0,0
DC38->DC65,DC38,DC65,0,0,0,0
DC38->DC81,DC38,DC81,0,0,0,0
DC38->DC9,DC38,DC9,0,0,0,0
DC39->DC10,DC39,DC10,0,0,0,0
DC39->DC14,DC39,DC14,0,0,0,0
DC39->DC4,DC39,DC4,0,0,0,0
DC39->DC5,DC39,DC5,0,0,0,0
DC39->DC8,DC39,DC8,0,0,0,0
DC39->DC9,DC39,DC9,0,0,0,0
DC4->DC17,DC4,DC17,0,0,0,0
DC4->DC19,DC4,DC19,0,0,0,0
DC4->DC20,DC4,DC20,0,0,0,0
DC4->DC21,DC4,DC21,0,0,0,0
DC4->DC22,DC4,DC22,0,0,0,0
DC4->DC23,DC4,DC23,0,0,0,0
DC4->DC3,DC4,DC3,0,0,0,0
DC4->DC30,DC4,DC30,0,0,0,0
DC4->DC34,DC4,DC34,0,0,0,0
DC4->DC35,DC4,DC35,0,0,0,0
DC4->DC36,DC4,DC36,0,0,0,0
DC4->DC38,DC4,DC38,0,0,0,0
DC4->DC40,DC4,DC40,0,0,0,0
DC4->DC64,DC4,DC64,0,0,0,0
DC4->DC65,DC4,DC65,0,0,0,0
DC4->DC70,DC4,DC70,0,0,0,0
DC4->DC9,DC4,DC9,0,0,0,0
DC40->DC12,DC40,DC12,0,0,0,0
DC40->DC21,DC40,DC21,0,0,0,0
DC17->DC20,DC17,DC20,0,0,0,0
DC40->DC3,DC40,DC3,0,0,0,0
DC40->DC30,DC40,DC30,0,0,0,0
DC40->DC32,DC40,DC32,0,0,0,0
