date,year,month,sampling_level,risk_score,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,change_strength
2022-06-09,2022,6,flood_regular,0.36701885012053637,1152.990774287389,4434.326740667646,0.0
2022-06-11,2022,6,flood_regular,0.39559225469181003,1152.990774287389,4450.577488946634,0.00305771501938068
2022-06-13,2022,6,flood_regular,0.37186616778781,1158.5322216210725,4445.355703788555,0.0
2022-06-15,2022,6,flood_regular,0.38333389092582026,1158.5322216210725,4436.98662268581,0.002023133354782658
2022-06-17,2022,6,flood_regular,0.3688770662518709,1164.4865065846266,4436.98662268581,0.0
2022-06-19,2022,6,flood_regular,0.3866971817228232,1165.094639289028,4445.974350070158,0.002023133354782658
2022-06-21,2022,6,flood_regular,0.3696128157678895,1168.2056544577508,4436.98662268581,0.0
2022-06-23,2022,6,flood_regular,0.374045936091183,1184.5500133742978,4445.974350070158,0.0
2022-06-25,2022,6,flood_regular,0.37862348252640443,1216.7247119734823,4454.978258877727,0.0
2022-06-27,2022,6,flood_regular,0.38035687306353794,1237.7209367263129,4454.978258877727,0.0
2022-06-29,2022,6,flood_regular,0.37974209131169623,1249.419253148988,4454.978258877727,0.0
2022-07-01,2022,7,flood_regular,0.6368204156290568,1289.2684258534346,4503.219767345695,0.010768059916518524
2022-07-03,2022,7,high,0.6613987002218674,1303.1720320591758,4595.652560119603,0.009515141991652598
2022-07-05,2022,7,high,0.6387653817590089,1310.8651827187134,4621.839114295107,0.005031876811807834
2022-07-07,2022,7,high,0.653171877111344,1307.124821215042,4676.903161243021,0.0043054122417380825
2022-07-09,2022,7,flood_regular,0.6258736067121804,1310.8651827187134,4688.357152420438,0.0
2022-07-11,2022,7,flood_regular,0.6338742953755726,1307.124821215042,4698.657084341379,0.0007666488950306416
2022-07-13,2022,7,flood_regular,0.635703207376032,1305.0099189093194,4698.657084341379,0.001035952894426373
2022-07-15,2022,7,flood_regular,0.6285487745958713,1298.1935764692296,4698.657084341379,0.0
2022-07-17,2022,7,flood_regular,0.6312200656165101,1294.6373249333965,4703.528230404004,0.0
2022-07-19,2022,7,flood_regular,0.6331784291566618,1292.4114975588063,4703.528230404004,0.0
2022-07-21,2022,7,flood_regular,0.6333800285521144,1291.3518588224956,4698.657084341379,0.0
2022-07-23,2022,7,flood_regular,0.6375893185473124,1288.9204600862129,4695.055478190738,0.0007666488950306416
2022-07-25,2022,7,high,0.6546226453361869,1276.813622080779,4667.787053482531,0.0043961989929659495
2022-07-27,2022,7,high,0.6406057192965711,1270.3358440105465,4676.903161243021,0.0019506607027057754
2022-07-29,2022,7,high,0.6443741513899912,1270.3358440105465,4676.903161243021,0.002445538290260174
2022-07-31,2022,7,high,0.6484221387054122,1268.6340464699863,4688.357152420438,0.002445538290260174
