date,year,target,train_end,actual,hybrid_predicted,lower_80,upper_80
2018-10-01,2018,mean_sediment_flux_kg_s,2017,14109.679930226246,349.3898698329548,221.23923672289052,789.0146091506105
2018-11-01,2018,mean_sediment_flux_kg_s,2017,1361.6590086703427,741.313188402295,469.411331396497,1674.0809797521517
2018-12-01,2018,mean_sediment_flux_kg_s,2017,567.3691234419067,530.8461090459869,336.14022077629517,1198.7907246660984
2019-01-01,2019,mean_sediment_flux_kg_s,2018,285.33017646410025,389.2043761896488,246.45041700429098,878.9262805638966
2019-02-01,2019,mean_sediment_flux_kg_s,2018,1722.312967427119,715.4361089582367,453.0255520733637,1615.643699549166
2019-03-01,2019,mean_sediment_flux_kg_s,2018,3372.624326053606,1763.4057852563858,1116.616661351337,3982.2360250261577
2019-04-01,2019,mean_sediment_flux_kg_s,2018,4773.468638071195,3653.15563624446,2313.236399724654,8249.790321270219
2019-05-01,2019,mean_sediment_flux_kg_s,2018,5353.943987684396,6459.720015150074,4090.3977161062585,14587.75397641845
2019-06-01,2019,mean_sediment_flux_kg_s,2018,13793.264076222531,10923.30309026532,6916.8096926751505,24667.703509892744
2019-07-01,2019,mean_sediment_flux_kg_s,2018,38915.09992635781,18354.5130612726,11622.370339580068,41449.338402723835
2019-08-01,2019,mean_sediment_flux_kg_s,2018,14047.129117033819,19165.528710387724,12135.918380530242,43280.82594902144
2019-09-01,2019,mean_sediment_flux_kg_s,2018,20975.726943232632,19092.069294544384,12089.402707081952,43114.935185480485
2019-10-01,2019,mean_sediment_flux_kg_s,2018,9401.039097133626,9545.531386209905,6044.38268061166,21556.331096337093
2019-11-01,2019,mean_sediment_flux_kg_s,2018,902.3194379022262,1884.4673025033155,1193.2747444406698,4255.624906505276
2019-12-01,2019,mean_sediment_flux_kg_s,2018,476.1913555032662,566.0358616656131,358.4229332480553,1278.2584806218042
2020-01-01,2020,mean_sediment_flux_kg_s,2019,362.56037417281453,413.1039271781622,261.58399377698476,932.897779196907
2020-02-01,2020,mean_sediment_flux_kg_s,2019,415.8561694552996,1216.4367666091025,770.2671571300227,2747.0355119952173
2020-03-01,2020,mean_sediment_flux_kg_s,2019,1771.6581456350702,2862.2993779541775,1812.453606493366,6463.828004081235
2020-04-01,2020,mean_sediment_flux_kg_s,2019,6797.622253501421,4310.581919748285,2729.529205333164,9734.432513020402
2020-05-01,2020,mean_sediment_flux_kg_s,2019,4831.13348943142,6796.213029531862,4303.470458312563,15347.64407956109
2020-06-01,2020,mean_sediment_flux_kg_s,2019,12971.289598458423,14343.78091302194,9082.71079076953,32392.045871967977
2020-07-01,2020,mean_sediment_flux_kg_s,2019,30223.033061381175,25629.366008406214,16228.923225800309,57877.87783763964
2020-08-01,2020,mean_sediment_flux_kg_s,2019,40594.167733933136,21313.098559753565,13495.793852907138,48130.60589865523
2020-09-01,2020,mean_sediment_flux_kg_s,2019,23458.70297666826,19945.85947244383,12630.0362617133,45043.01891565285
2020-10-01,2020,mean_sediment_flux_kg_s,2019,11851.223843746286,9692.360502970776,6137.357218586681,21887.91002342046
2020-11-01,2020,mean_sediment_flux_kg_s,2019,1822.4529537736419,1701.669689089746,1077.5243808548003,3842.819613752715
2020-12-01,2020,mean_sediment_flux_kg_s,2019,908.58637048141,489.17726912246593,309.7548469123774,1104.6914782805777
2021-01-01,2021,mean_sediment_flux_kg_s,2020,383.34208185494793,412.1584944075878,260.9853306713982,930.7627422872519
2021-02-01,2021,mean_sediment_flux_kg_s,2020,638.0701718012903,935.4771996082785,592.3590793057434,2112.554600885039
2021-03-01,2021,mean_sediment_flux_kg_s,2020,4112.845751029374,2545.84934557788,1612.072400085353,5749.200248186487
2021-04-01,2021,mean_sediment_flux_kg_s,2020,3217.729833616205,4968.801834774571,3146.324551076431,11220.866934367292
2021-05-01,2021,mean_sediment_flux_kg_s,2020,9998.635748630662,7023.483303740164,4447.3816198459135,15860.880386789313
2021-06-01,2021,mean_sediment_flux_kg_s,2020,20892.39835930059,13821.636347418209,8752.08052605005,31212.905530701322
2021-07-01,2021,mean_sediment_flux_kg_s,2020,19248.90732997225,28037.629663945005,17753.874173100572,63316.373257713014
2021-08-01,2021,mean_sediment_flux_kg_s,2020,1107.5289831733362,29912.517279497515,18941.082907012504,67550.36470083571
2021-09-01,2021,mean_sediment_flux_kg_s,2020,17063.350534966758,22915.95432361733,14510.747680685969,51750.27756988721
2021-10-01,2021,mean_sediment_flux_kg_s,2020,28322.37732119907,10182.620195023992,6447.797472958424,22995.04589857508
2021-11-01,2021,mean_sediment_flux_kg_s,2020,15441.69057928314,2047.4845161969788,1296.4998435184468,4623.760832165693
2021-12-01,2021,mean_sediment_flux_kg_s,2020,3677.2982776392996,638.0274745026646,404.0091704281261,1440.8345572891267
