date,low_pred_mean_flow_m3s,normal_pred_mean_flow_m3s,high_pred_mean_flow_m3s,low_pred_mean_sediment_flux_kg_s,normal_pred_mean_sediment_flux_kg_s,high_pred_mean_sediment_flux_kg_s,low_pred_water_volume_m3,low_pred_sediment_mass_kg,low_pred_water_volume_1e8_m3,low_pred_sediment_mass_1e4_t,normal_pred_water_volume_m3,normal_pred_sediment_mass_kg,normal_pred_water_volume_1e8_m3,normal_pred_sediment_mass_1e4_t,high_pred_water_volume_m3,high_pred_sediment_mass_kg,high_pred_water_volume_1e8_m3,high_pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_m3,pred_sediment_mass_kg,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,year,month
2023-02-21,452.14441116566235,593.4415670443188,960.6622254402092,742.8600065997745,1173.1542960216198,2649.2922613681085,39065277.12471323,64183104.570220515,0.39065277124713227,6.418310457022051,51273351.39262915,101360531.17626795,0.5127335139262915,10.136053117626796,83001216.27803408,228898851.38220456,0.8300121627803407,22.889885138220457,593.4415670443188,1173.1542960216198,51273351.39262915,101360531.17626795,0.5127335139262915,10.136053117626796,2023,2
2023-02-22,464.62842915017046,609.8268966266003,987.1867698186622,787.3819419047715,1243.465120680665,2808.072674389062,40143896.27857473,68029799.78057225,0.40143896278574726,6.802979978057225,52689043.86853826,107435386.42680946,0.5268904386853827,10.743538642680946,85292936.91233242,242617479.06721494,0.8529293691233242,24.261747906721492,609.8268966266003,1243.465120680665,52689043.86853826,107435386.42680946,0.5268904386853827,10.743538642680946,2023,2
2023-02-23,477.1532522938616,626.2657831632774,1013.7980121061511,833.316991861054,1316.0075926342183,2971.8927364378483,41226040.99818964,71998588.09679507,0.41226040998189645,7.199858809679506,54109363.66530717,113703056.00359647,0.5410936366530718,11.370305600359647,87592148.24597146,256771532.42823008,0.8759214824597146,25.677153242823007,626.2657831632774,1316.0075926342183,54109363.66530717,113703056.00359647,0.5410936366530718,11.370305600359647,2023,2
2023-02-24,489.7704907540631,642.8259652172593,1040.6056073760744,881.6573491100003,1392.3486222683184,3144.290945028449,42316170.401151046,76175194.96310402,0.4231617040115105,7.617519496310402,55540163.3947712,120298920.96398272,0.555401633947712,12.029892096398271,89908324.47729284,271666737.65045804,0.8990832447729283,27.166673765045804,642.8259652172593,1392.3486222683184,55540163.3947712,120298920.96398272,0.555401633947712,12.029892096398271,2023,2
2023-02-25,502.39999792283743,659.4022500062553,1067.4392697267576,932.0060277508398,1471.8612735373965,3323.851512979647,43407359.82053316,80525320.79767257,0.4340735982053316,8.052532079767257,56972354.400540456,127168814.03363106,0.5697235440054046,12.716881403363105,92226752.90439186,287180770.7214415,0.9222675290439185,28.71807707214415,659.4022500062553,1471.8612735373965,56972354.400540456,127168814.03363106,0.5697235440054046,12.716881403363105,2023,2
2023-02-26,515.5398298756392,676.648338362554,1095.3572089823729,987.8343271124842,1560.0275614702728,3522.9542781710866,44542641.301255226,85348885.86251864,0.44542641301255226,8.534888586251864,58462416.43452466,134786381.31103158,0.5846241643452467,13.478638131103159,94638862.85607702,304383249.6339819,0.9463886285607701,30.438324963398188,676.648338362554,1560.0275614702728,58462416.43452466,134786381.31103158,0.5846241643452467,13.478638131103159,2023,2
2023-02-27,529.1936022768278,694.5689758618398,1124.3671072729749,1050.0804432417076,1658.3291228666208,3744.9451678357377,45722327.236717924,90726950.29608354,0.45722327236717925,9.072695029608354,60010759.51446296,143279636.21567604,0.6001075951446296,14.327963621567603,97145318.06838503,323563262.50100774,0.9714531806838503,32.35632625010077,694.5689758618398,1658.3291228666208,60010759.51446296,143279636.21567604,0.6001075951446296,14.327963621567603,2023,2
2023-02-28,543.311278475303,713.098489175182,1154.3626527225067,1119.1501600155566,1767.406787888764,3991.2713457402524,46942094.46026617,96694573.82534409,0.4694209446026617,9.669457382534409,61611709.464735724,152703946.4735892,0.6161170946473572,15.270394647358922,99736933.19522458,344845844.2719578,0.9973693319522459,34.484584427195784,713.098489175182,1767.406787888764,61611709.464735724,152703946.4735892,0.6161170946473572,15.270394647358922,2023,2
2023-03-01,635.028674328357,833.4779824878134,1349.232777036601,1583.7366063448899,2501.1003244130934,5648.14513900119,54866477.461970046,136834842.78819847,0.5486647746197004,13.683484278819847,72012497.68694708,216095068.02929127,0.7201249768694707,21.609506802929126,116573711.93596232,487999740.0097028,1.165737119359623,48.79997400097028,833.4779824878134,2501.1003244130934,72012497.68694708,216095068.02929127,0.7201249768694707,21.609506802929126,2023,3
2023-03-02,650.5509612135941,853.8510536257236,1382.2126708378973,1674.8077451617492,2644.9235169357476,5972.935895210892,56207603.04885453,144703389.18197513,0.5620760304885453,14.470338918197513,73772731.03326252,228521391.8632486,0.7377273103326252,22.85213918632486,119423174.76039433,516061661.3462211,1.1942317476039432,51.60616613462211,853.8510536257236,2644.9235169357476,73772731.03326252,228521391.8632486,0.7377273103326252,22.85213918632486,2023,3
2023-03-03,666.6602411944003,874.9945558336115,1416.4397371787231,1779.1666622367575,2809.731301453713,6345.115402729502,57599444.83919619,153719999.61725584,0.5759944483919619,15.371999961725583,75599529.62402403,242760784.4456008,0.7559952962402403,24.27607844456008,122380393.29224168,548217970.795829,1.2238039329224168,54.82179707958291,874.9945558336115,2809.731301453713,75599529.62402403,242760784.4456008,0.7559952962402403,24.27607844456008,2023,3
