mirror_id,x_m,y_m,annual_optical_efficiency,annual_cosine_efficiency,annual_atmospheric_efficiency,annual_shadow_blocking_efficiency,annual_truncation_efficiency
21,41.300000000000004,-335.9156936457221,0.42871088953547365,0.567529780665452,0.9608292557183232,0.9182942708333334,0.9405372268281886
22,53.1,-335.9156936457221,0.4194728599277427,0.5680869199838441,0.9606256021478837,0.9005859375,0.9402884416997365
23,64.9,-335.9156936457221,0.40547353466449176,0.5687725392508216,0.9603731074653509,0.8729166666666667,0.9402742362840418
24,76.70000000000002,-335.9156936457221,0.38980063592449743,0.5695799104437587,0.9600730800521599,0.8408203125,0.9413608334259393
25,88.50000000000001,-335.9156936457221,0.3739037246351976,0.5705013969433173,0.9597270220570525,0.8102213541666666,0.9407555536377438
26,-118.0,-325.6965938810658,0.34351909803956265,0.5767595129257005,0.959628916065329,0.7522135416666667,0.9392923084794961
27,-106.2,-325.6965938810658,0.3558575534088533,0.5755626582865763,0.9600979608161195,0.7732421875,0.939832577985255
28,-94.4,-325.6965938810658,0.36870348298773037,0.5744585165495983,0.9605243306791332,0.7960286458333333,0.9404546750209126
29,-82.60000000000001,-325.6965938810658,0.3855783325751532,0.5734568125503715,0.960906012343722,0.8266927083333333,0.9425430186213697
30,-70.80000000000001,-325.6965938810658,0.40190070917767845,0.5725668624358309,0.9612411101253427,0.8569661458333333,0.9440341816363038
31,-59.0,-325.6965938810658,0.41736906298104615,0.5717973538006664,0.9615278825488379,0.88828125,0.9434477739926392
32,-47.2,-325.6965938810658,0.4306494610172492,0.5711561218535974,0.9617647789126734,0.9125651041666667,0.9450304175727143
33,-35.400000000000006,-325.6965938810658,0.4401007750198212,0.5706499323071292,0.9619504742776551,0.9291015625,0.9465981271651924
34,-23.6,-325.6965938810658,0.44560231803872535,0.5702842822741886,0.9620839012054604,0.9388020833333334,0.9478377027159376
35,-11.8,-325.6965938810658,0.4493646787747937,0.5700632304057953,0.962164276581399,0.9448567708333333,0.9500833650168096
36,0.0,-325.6965938810658,0.45105499720096326,0.5699892666751908,0.9621911220109927,0.9483072916666667,0.9506357607697198
37,11.8,-325.6965938810658,0.44813993258815366,0.5700632304057953,0.962164276581399,0.9448567708333333,0.9472684283706815
38,23.6,-325.6965938810658,0.4445188326605721,0.5702842822741887,0.9620839012054604,0.9395833333333333,0.9443570789504541
39,35.400000000000006,-325.6965938810658,0.4370517259249046,0.5706499323071293,0.9619504742776551,0.9274739583333333,0.9418979239753497
40,47.2,-325.6965938810658,0.4284568018606297,0.5711561218535974,0.9617647789126734,0.9119140625,0.94069170291862
41,59.0,-325.6965938810658,0.4159811913817579,0.5717973538006665,0.9615278825488379,0.8881510416666667,0.9403340274800449
42,70.80000000000001,-325.6965938810658,0.4008395922849931,0.5725668624358309,0.9612411101253427,0.8576822916666667,0.9405991404638958
43,82.60000000000001,-325.6965938810658,0.3847018780643792,0.5734568125503714,0.960906012343722,0.8255208333333334,0.9416449495942205
44,94.4,-325.6965938810658,0.3693581804527789,0.5744585165495985,0.9605243306791332,0.7970703125,0.9407653358460816
45,106.2,-325.6965938810658,0.35595070874877865,0.5755626582865762,0.9600979608161195,0.7740885416666666,0.9390387607612953
46,118.0,-325.6965938810658,0.34331984489548106,0.5767595129257007,0.959628916065329,0.7530598958333333,0.9367911691610641
47,-147.5,-315.4774941164094,0.3477182867965004,0.5838909346120641,0.9591915460299363,0.7604166666666666,0.9303413801478169
48,-135.70000000000002,-315.4774941164094,0.34831274845566695,0.5824833241209013,0.9597762018122328,0.7597005208333333,0.9342329453751874
49,-123.9,-315.4774941164094,0.34642139887461254,0.5811420510785924,0.9603228803555344,0.7529947916666667,0.9386883452192077
50,-112.1,-315.4774941164094,0.35353760712066346,0.5798775866623735,0.9608292557183232,0.7623046875,0.9441800059603361
51,-100.3,-315.4774941164094,0.36640231912607324,0.5787005265750583,0.9612930276401511,0.7861328125,0.9424523761584297
52,-88.5,-315.4774941164094,0.38157172033183945,0.5776214055039054,0.9617119563780799,0.8138020833333334,0.9425647828765144
53,-76.7,-315.4774941164094,0.39756295716565315,0.5766504822218717,0.9620839012054604,0.843359375,0.9437586335104406
54,-64.9,-315.4774941164094,0.41423168000221605,0.575797502078133,0.9624068615538234,0.874609375,0.945086343097713
55,-53.1,-315.4774941164094,0.42869010528162116,0.5750714465461154,0.9626790193990328,0.902734375,0.9449414579909395
56,-41.300000000000004,-315.4774941164094,0.4404826730336308,0.574480281671619,0.9628987811542085,0.9247395833333333,0.9456024331579154
57,-29.500000000000007,-315.4774941164094,0.4480639352680677,0.5740307185987675,0.9630648170846854,0.9390625,0.9459120366892507
58,-17.700000000000003,-315.4774941164094,0.453535621001324,0.5737279998447671,0.9631760961541932,0.9475260416666667,0.9484541774978168
59,-5.9,-315.4774941164094,0.4574951085340094,0.5735757245720453,0.9632319142849117,0.9546223958333333,0.9502565276436903
60,5.9,-315.4774941164094,0.45522880379254776,0.5735757245720454,0.9632319142849117,0.9533203125,0.9467251384806549
61,17.700000000000003,-315.4774941164094,0.4519465864443614,0.5737279998447671,0.9631760961541932,0.9482421875,0.9443578403604146
62,29.5,-315.4774941164094,0.44558910780100874,0.5740307185987674,0.9630648170846854,0.9374348958333333,0.9424019542088666
63,41.300000000000004,-315.4774941164094,0.4386735864391399,0.5744802816716191,0.9628987811542085,0.9244140625,0.9419273822801965
64,53.1,-315.4774941164094,0.427580989013524,0.5750714465461154,0.9626790193990328,0.903515625,0.9415625078009486
65,64.9,-315.4774941164094,0.4130648468110831,0.575797502078133,0.9624068615538234,0.8747395833333333,0.9421101903508887
66,76.70000000000002,-315.4774941164094,0.39576453300561737,0.5766504822218718,0.9620839012054604,0.8418619791666667,0.941391676653849
