survey_date,method,min_bed_elevation_m,thalweg_distance_m,max_bed_elevation_m,section_integral_m2,roughness_integral,max_abs_slope,below_observed_min_m,above_observed_max_m,selected_penalty
2018-09-13,gcv_smoothing_spline,41.23161930797098,1735.0,54.005463437017326,207238.38495367375,0.045223307024864025,0.41198591999472356,0.004380692029016586,0.4294634370173256,
2018-09-13,matern_gp,41.53350001311294,1750.0,52.64110413208399,207405.39532331374,0.0018189045135545664,0.1676367066816752,0.0,0.0,
2019-04-13,linear,40.47129411764706,1735.0,53.64749425287357,206092.4364969405,0.09830473280078894,0.35269393939393934,0.0,0.0,
2019-04-13,pchip,40.44381599837167,1735.0,53.65446157116977,206051.3167299655,0.12130444541992258,0.4610778263050747,0.0,0.0,
2019-04-13,penalized_bspline,40.39315219223661,1965.0,53.606794803750304,206611.59651543718,0.0002306785658979614,0.11950682659825133,0.042847807763386925,0.0,0.001
2019-04-13,gcv_smoothing_spline,39.40889256522978,85.0,53.79763258044848,205824.16758863148,0.04505069932864548,0.35358371162956603,1.0271074347702225,0.14163258044847282,
2019-04-13,matern_gp,40.840295176296344,1765.0,52.30532735463241,206620.97997630213,0.0002357263894930282,0.07531494324997609,0.0,0.0,
2019-10-15,linear,39.98,2010.0,53.556000000000004,205478.5823115802,0.1419564762797785,0.40033333333333304,0.0,0.0,
2019-10-15,pchip,39.98,2010.0,53.55924281019537,205433.4497442182,0.16201632513465497,0.41177557836890627,0.0,0.0,
2019-10-15,penalized_bspline,39.71080133695112,1995.0,53.72103147434852,205984.9297507736,0.0005871017716529327,0.17130825194938523,0.26919866304887563,0.16103147434851905,0.0001
2019-10-15,gcv_smoothing_spline,39.99172045213651,2010.0,53.30352971552907,205174.00271741528,0.01995567542180693,0.3037224348519594,0.0,0.0,
2019-10-15,matern_gp,40.01566983167292,2010.0,52.96683884977658,205146.2145223358,0.0067603701344586655,0.20363790465586007,0.0,0.0,
2020-03-19,linear,40.46,1770.0,53.720588235294116,205781.2654665282,0.11518376373405156,0.32565217391304346,0.0,0.0,
2020-03-19,pchip,40.46,1770.0,53.72986973336047,205712.1431413273,0.13517442664738966,0.40896819389908645,0.0,0.0,
2020-03-19,penalized_bspline,40.17216251296507,1775.0,54.96128191942485,206099.37508478307,0.0005822515501704447,0.1968718589917046,0.2878374870349276,1.2312819194248519,0.0001
2020-03-19,gcv_smoothing_spline,40.43434517504342,1760.0,54.01640930948512,205470.68031671856,0.04417304838538794,0.34058433235219143,0.025654824956582445,0.2864093094851228,
2020-03-19,matern_gp,40.62271693166265,1765.0,52.74054307968311,206180.25661729707,0.0010472096109917658,0.12153631735511042,0.0,0.0,
2021-03-14,linear,40.78,1745.0,53.720588235294116,205894.437562545,0.11274428668908741,0.32565217391304346,0.0,0.0,
2021-03-14,pchip,40.78,1745.0,53.72986973336047,205810.24880391528,0.13224678166301213,0.40896819389908645,0.0,0.0,
2021-03-14,penalized_bspline,40.92476940045507,1970.0,54.96013151688223,206277.51031205544,0.0004830193126170517,0.19677606199511785,0.0,1.2301315168822313,0.0001
