method,distance_m,base_date,target_date,horizon_days,base_bed_elevation_m,central_daily_rate_m,central_bed_elevation_m,central_change_m,scenario_1_bed_elevation_m,scenario_2_bed_elevation_m,sensitivity_lower_bed_elevation_m,sensitivity_upper_bed_elevation_m
pchip,1910.0,2023-02-26,2033-02-26,3653,41.46018235253434,-0.0003375880588686786,40.22697317348705,-1.2332091790472828,42.59024337140756,37.942478648830566,37.942478648830566,42.59024337140756
pchip,1915.0,2023-02-26,2033-02-26,3653,41.43925559359996,-0.0002726680604385607,40.4431991688179,-0.9960564247820621,43.21706068486344,37.76179970330721,37.76179970330721,43.21706068486344
pchip,1920.0,2023-02-26,2033-02-26,3653,41.423032546285256,-0.00024602900078513957,40.524288606417144,-0.8987439398681148,44.082304576936664,37.08487316824827,37.08487316824827,44.082304576936664
pchip,1925.0,2023-02-26,2033-02-26,3653,41.383644762335045,-0.0002336753910603617,40.53002855879154,-0.8536162035435013,44.66519542529325,36.5327005878399,36.5327005878399,44.66519542529325
pchip,1930.0,2023-02-26,2033-02-26,3653,41.123250764839916,-0.00023393148509646337,40.26869904978253,-0.8545517150573807,44.4233007238611,36.25258409817326,36.25258409817326,44.4233007238611
pchip,1935.0,2023-02-26,2033-02-26,3653,40.800000000000004,-0.00027077287783026997,39.81086667728603,-0.9891333227139762,43.826245998616386,35.929333333333346,35.929333333333346,43.826245998616386
pchip,1940.0,2023-02-26,2033-02-26,3653,40.550389846764496,-0.00029275936544136637,39.480939884807185,-1.0694499619573115,43.413233027609955,35.67972318009784,35.67972318009784,43.413233027609955
pchip,1945.0,2023-02-26,2033-02-26,3653,40.33431950215053,-0.0002865652638133021,39.28749659344054,-1.0468229087099927,43.41571276989922,35.29688762286381,35.29688762286381,43.41571276989922
pchip,1950.0,2023-02-26,2033-02-26,3653,40.18783526435339,-0.00026741136276559334,39.21098155617068,-0.9768537081827124,43.55697924221017,35.009850459665834,35.009850459665834,43.55697924221017
pchip,1955.0,2023-02-26,2033-02-26,3653,40.07270266460046,-8.034768113647342e-05,39.77919258540893,-0.2935100791915374,43.71526012091258,35.97432730108873,35.97432730108873,43.71526012091258
pchip,1960.0,2023-02-26,2033-02-26,3653,39.945397244673764,0.00014316923353025875,40.468394454759796,0.5229972100860353,44.00953576813493,37.04529118516384,37.04529118516384,44.00953576813493
pchip,1965.0,2023-02-26,2033-02-26,3653,39.80133779511371,0.0001913774269102253,40.50043953561676,0.6991017405030531,44.30280532081147,36.82481927659521,36.82481927659521,44.30280532081147
pchip,1970.0,2023-02-26,2033-02-26,3653,39.67837178364891,0.00018819786911621644,40.365858599530455,0.6874868158815387,44.62274789820735,36.25086561080945,36.25086561080945,44.62274789820735
pchip,1975.0,2023-02-26,2033-02-26,3653,39.57846070072168,0.00018776794416114654,40.26437700074234,0.6859163000206683,45.05916800785886,35.62941236052972,35.62941236052972,45.05916800785886
pchip,1980.0,2023-02-26,2033-02-26,3653,39.5,0.00017047333769819754,40.12273910261152,0.6227391026115155,45.454392748545196,34.96880724487563,34.96880724487563,45.454392748545196
pchip,1985.0,2023-02-26,2033-02-26,3653,39.433944954128435,0.00012122860206030401,39.876793037454725,0.44284808332629055,45.59225913037361,34.35184248096647,34.35184248096647,45.59225913037361
pchip,1990.0,2023-02-26,2033-02-26,3653,39.4,5.453686518300317e-05,39.59922316851351,0.19922316851351057,45.38026399582622,34.01088370211122,34.01088370211122,45.38026399582622
pchip,1995.0,2023-02-26,2033-02-26,3653,39.4,-1.846315346279463e-05,39.33255410040041,-0.06744589959958879,44.94107355079271,33.91098529835452,33.91098529835452,44.94107355079271
pchip,2000.0,2023-02-26,2033-02-26,3653,39.4,-0.0001180956687336488,38.96859652211598,-0.4314034778840191,44.383182985479834,33.73449627419759,33.73449627419759,44.383182985479834
pchip,2005.0,2023-02-26,2033-02-26,3653,39.4,-0.0002838957958805156,38.362928657648474,-1.0370713423515237,43.82207240963138,33.085756364065,33.085756364065,43.82207240963138
pchip,2010.0,2023-02-26,2033-02-26,3653,39.4,-0.0004988522524906247,37.577692721651744,-1.822307278348252,43.23485644005772,32.10910112719264,32.10910112719264,43.23485644005772
pchip,2015.0,2023-02-26,2033-02-26,3653,39.33,-0.0007560712284114702,36.5680718026129,-2.7619281973871006,42.624706147266686,30.713325269447573,30.713325269447573,42.624706147266686
pchip,2020.0,2023-02-26,2033-02-26,3653,39.2,-0.001178232397982446,34.89591705017013,-4.304082949829875,41.72894299084702,28.290658640849138,28.290658640849138,41.72894299084702
pchip,2025.0,2023-02-26,2033-02-26,3653,39.06503916449087,-0.0019346682887652362,31.99769590563146,-7.067343258859408,38.750553860463455,25.469933215960538,25.469933215960538,38.750553860463455
pchip,2030.0,2023-02-26,2033-02-26,3653,38.9,-0.0027433864706553164,28.878409222696128,-10.02159077730387,34.78630558610804,23.167442738064615,23.167442738064615,34.78630558610804
pchip,2035.0,2023-02-26,2033-02-26,3653,38.63377772443078,-0.003293676741330036,26.60197658835216,-12.031801136078622,32.098321168838105,21.288843493882403,21.288843493882403,32.098321168838105
pchip,2040.0,2023-02-26,2033-02-26,3653,38.36192232227427,-0.003400606570143879,25.939506521538675,-12.42241580073559,31.88349014269924,20.193655687750134,20.193655687750134,31.88349014269924
pchip,2045.0,2023-02-26,2033-02-26,3653,38.300000000000004,-0.0032503870228730285,26.426336205444834,-11.873663794555172,32.936993052971346,20.132701252835872,20.132701252835872,32.936993052971346
pchip,2050.0,2023-02-26,2033-02-26,3653,38.300000000000004,-0.0028636070899284876,27.83924330049124,-10.460756699508766,34.78095476799961,21.12892221523315,21.12892221523315,34.78095476799961
linear,1820.0,2023-02-26,2033-02-26,3653,42.06,-0.0023854362837413667,33.346001255492794,-8.713998744507212,34.968607918263075,31.77748148148151,31.77748148148151,34.968607918263075
linear,1825.0,2023-02-26,2033-02-26,3653,41.96,-0.002448210922787189,33.0166854990584,-8.9433145009416,34.40206896551725,31.677481481481507,31.677481481481507,34.40206896551725
linear,1830.0,2023-02-26,2033-02-26,3653,41.86,-0.0024741054613935816,32.82209274952925,-9.037907250470754,34.10962164750967,31.577481481481506,31.577481481481506,34.10962164750967
linear,1835.0,2023-02-26,2033-02-26,3653,41.760000000000005,-0.00235293229996618,33.16473830822355,-8.595261691776455,34.694850734355114,31.68562962962971,31.68562962962971,34.694850734355114
