scenario,year,month,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t
normal,2022,8,971.1800132686761,3660.7332520602463,26.01208547538822,980.4907942318163
normal,2022,9,1949.728229522101,19056.245978663977,50.536955709212855,4939.378957669704
normal,2022,10,3159.635159239572,24124.212711305983,84.6276681050727,6461.429132596195
normal,2022,11,1496.1313775110978,10567.246603099562,38.77972530508765,2739.0303195234064
normal,2022,12,843.6419580853916,2490.2574011631395,22.59610620535913,666.9905423275353
normal,2023,1,411.29364460285086,490.9423161831164,11.016088977042758,131.4939899664859
normal,2023,2,511.35063944828664,894.0874715095948,12.370594669532952,216.29764110760115
normal,2023,3,1037.7677971209805,4202.388498313298,27.795572678088345,1125.5677353882338
normal,2023,4,1070.2746811751495,4493.730335373161,27.741519736059875,1164.7749029287236
normal,2023,5,1578.7508174127922,11070.54023812179,42.28526189358423,2965.13349737854
normal,2023,6,2305.3842094565275,22794.997547567367,59.75555870911319,5908.463364329462
normal,2023,7,2164.9169646095893,24614.364428691133,57.985135980103244,6592.7113685806335
normal,2023,8,1024.038531324184,4015.344462990771,27.42784802298695,1075.469860967448
normal,2023,9,2055.5984131908303,20890.66513343775,53.281110869906314,5414.860402587065
normal,2023,10,3330.7852591235983,26429.046149632693,89.21175238036645,7078.755720717621
normal,2023,11,1577.3825122373262,11570.050963323534,40.885754717191496,2998.95720969346
normal,2023,12,889.341598380686,2723.370447624247,23.820125371028297,729.4275406916784
high,2022,1,631.4899964922547,1011.6685531916204,16.913828066048552,270.9653052868436
high,2022,2,785.0601265157468,1840.999770249037,18.992174580668944,445.37466441864706
high,2022,3,1593.3922603474864,8658.513213616352,42.67741830114708,2319.096179135004
high,2022,4,1643.2786071995301,9256.00664366194,42.59378149861182,2399.156922037175
high,2022,5,2423.886712838623,22796.27105192068,64.92138171666969,6105.753238546435
high,2022,6,3539.5908513794952,46943.59641958808,91.74619486775651,12167.78019195723
high,2022,7,3324.1602940854373,50720.88978745086,89.03430931678436,13585.083120670839
high,2022,8,1572.144596302036,8266.902579230202,42.10832086735373,2214.2071868210173
high,2022,9,3156.2168273871866,43034.036676341195,81.80914016587589,11154.422306507637
high,2022,10,5114.812160482744,54478.844142154754,136.9951289063698,14591.61361503473
high,2022,11,2421.934994930006,23863.633917975418,62.77655506858574,6185.453911539229
high,2022,12,1365.6862038929646,5623.658954401153,36.57853928506916,1506.2408143468049
high,2023,1,665.8014703983175,1108.6774207389478,17.832826583148538,296.9481603707198
high,2023,2,827.7735678666728,2019.0856627207852,20.025498153830547,488.4572035254124
high,2023,3,1679.93679047085,9490.10319068771,44.99542699597124,2541.829238593796
high,2023,4,1732.5588805161071,10148.030009822198,44.9079261829775,2630.3693785459136
high,2023,5,2555.67920734824,25000.20387896173,68.45131188961527,6696.054606941109
high,2023,6,3731.952138407974,51477.125221695744,96.7321994275347,13342.870857463537
high,2023,7,3504.563995194143,55585.73618198992,93.86624204727993,14888.08357898418
high,2023,8,1657.7118777474284,9067.708355672841,44.40015493358712,2428.695005983414
high,2023,9,3327.5993052906424,47176.63964623904,86.25137399313346,12228.184996305159
high,2023,10,5391.86965859127,59683.76681311847,144.41583693570857,15985.70010322565
high,2023,11,2553.464197197382,26128.231030407256,66.18579199135614,6772.437483081561
high,2023,12,1439.6647058818824,6150.089784606266,38.55997948234034,1647.2400479089422
