date,period,actual_mean_flow_m3s,actual_mean_sediment_flux_kg_s,low_pred_mean_flow_m3s,low_pred_mean_sediment_flux_kg_s,normal_pred_mean_flow_m3s,normal_pred_mean_sediment_flux_kg_s,high_pred_mean_flow_m3s,high_pred_mean_sediment_flux_kg_s
2022-08-01,forecast,,,739.9441488776472,2318.0346668869656,971.1800132686761,3660.7332520602463,1572.144596302036,8266.902579230202
2022-09-01,forecast,,,1485.5021475172534,12066.718812251078,1949.728229522101,19056.245978663977,3156.2168273871866,43034.036676341195
2022-10-01,forecast,,,2407.332849446338,15275.836157876429,3159.635159239572,24124.212711305983,5114.812160482744,54478.844142154754
2022-11-01,forecast,,,1139.9057266588595,6691.3490475555645,1496.1313775110978,10567.246603099562,2421.934994930006,23863.633917975418
2022-12-01,forecast,,,642.7726292800768,1576.8706944487851,843.6419580853916,2490.2574011631395,1365.6862038929646,5623.658954401153
2023-01-01,forecast,,,313.36551580190746,310.87250285547896,411.29364460285086,490.9423161831164,665.8014703983175,1108.6774207389478
2023-02-01,forecast,,,389.59915619672785,566.150443499849,511.35063944828664,894.0874715095948,827.7735678666728,2019.0856627207852
2023-03-01,forecast,,,790.6775251570984,2661.0194056982787,1037.7677971209805,4202.388498313298,1679.93679047085,9490.10319068771
2023-04-01,forecast,,,815.4445903000176,2845.501702472898,1070.2746811751495,4493.730335373161,1732.5588805161071,10148.030009822198
2023-05-01,forecast,,,1202.8536562945312,7010.042602446103,1578.7508174127922,11070.54023812179,2555.67920734824,25000.20387896173
2023-06-01,forecast,,,1756.4772064871092,14434.15592139269,2305.3842094565275,22794.997547567367,3731.952138407974,51477.125221695744
2023-07-01,forecast,,,1649.4549093708058,15586.208040966658,2164.9169646095893,24614.364428691133,3504.563995194143,55585.73618198992
2023-08-01,forecast,,,780.2171679051673,2542.580140048962,1024.038531324184,4015.344462990771,1657.7118777474284,9067.708355672841
2023-09-01,forecast,,,1566.1648690271593,13228.302271514038,2055.5984131908303,20890.66513343775,3327.5993052906424,47176.63964623904
2023-10-01,forecast,,,2537.7324800593856,16735.29344240672,3330.7852591235983,26429.046149632693,5391.86965859127,59683.76681311847
2023-11-01,forecast,,,1201.8111416271859,7326.34075851848,1577.3825122373262,11570.050963323534,2553.464197197382,26128.231030407256
2023-12-01,forecast,,,677.5912838861425,1724.4815925376759,889.341598380686,2723.370447624247,1439.6647058818824,6150.089784606266
