scheme,date,status,affected_volume,served_volume,unserved_volume,minimum_unserved_volume,min_rho_with_all_candidates,selected_candidate_max_load_rate,actual_changed_lines,new_opened_lines,existing_changed_lines,new_opened_share,closed_positive_lines,max_candidate_line_load_rate,max_line_load_rate,average_line_load_rate,line_load_std,target_new_share,lines_per_demand,changed_count,new_opened_count,existing_changed_count,served
flow_heuristic_balanced,2023-01-11,optimal,352975.0,352975.0,0.0,0.0,0.021080970764160156,0.2926206588745117,33,19,14,0.6136363636363636,19,0.2926206588745117,0.8989593188268685,0.045798521185382884,0.0959765320173854,-1.0,-1,44,27,17,352975.0
flow_heuristic_balanced,2023-01-12,optimal,437007.0,437007.0,0.0,0.0,0.02303600311279297,0.34262537956237793,24,23,1,0.7804878048780488,19,0.34262493747936573,0.6532914941914808,0.041002531600016656,0.08534797528608896,-1.0,-1,41,32,9,437007.0
flow_heuristic_balanced,2023-01-13,optimal,644980.0,644980.0,0.0,0.0,0.08220791816711426,0.5160641670227051,36,28,8,0.7391304347826086,19,0.5160641670227051,1.1224329627207326,0.04532925880930581,0.10001478729455472,-1.0,-1,46,34,12,644980.0
flow_heuristic_balanced,2023-01-14,optimal,587533.0,587533.0,0.0,0.0,0.06363749504089355,0.4817032814025879,40,29,11,0.6938775510204082,19,0.4817032814025879,0.857441982202059,0.04458714729322373,0.10219526239652753,-1.0,-1,49,34,15,587533.0
flow_heuristic_balanced,2023-01-15,optimal,588431.0,588431.0,0.0,0.0,0.023006200790405273,0.46861886978149414,23,18,5,0.7857142857142857,19,0.46861886978149414,0.9289962062954988,0.041418303742736355,0.09379223753700311,-1.0,-1,42,33,9,588431.0
flow_heuristic_balanced,2023-01-16,optimal,527623.0,515150.0,12473.0,12473.0,0.021828413009643555,0.30841708183288574,42,20,22,0.5490196078431373,19,0.30841708183288574,0.8154349247874427,0.04658304562946214,0.09677105722420096,-1.0,-1,51,28,23,515149.99999999994
flow_heuristic_balanced,2023-01-17,optimal,474147.0,474147.0,0.0,0.0,0.03380775451660156,0.3969919681549072,27,21,6,0.75,19,0.3969919681549072,0.8950460675657631,0.0442679806868197,0.09822923544951397,-1.0,-1,48,36,12,474147.0
flow_heuristic_balanced,2023-01-18,optimal,557907.0,557907.0,0.0,0.0,0.019979476928710938,0.44138312339782715,30,25,5,0.7567567567567568,19,0.44138312339782715,1.155633684915453,0.042796968095420676,0.09842782375411267,-1.0,-1,37,28,9,557907.0
flow_heuristic_balanced,2023-01-19,optimal,477440.0,477440.0,0.0,0.0,0.02044200897216797,0.43342113494873047,26,17,9,0.6666666666666666,19,0.43342113494873047,0.8251144538914323,0.04172632104050523,0.09249375829684083,-1.0,-1,33,22,11,477440.0
flow_heuristic_balanced,2023-01-20,optimal,448867.0,448867.0,0.0,0.0,0.015920400619506836,0.28716087341308594,27,19,8,0.7222222222222222,19,0.28716087341308594,0.49163403346386614,0.03219526875339629,0.06873523224622433,-1.0,-1,36,26,10,448867.0
flow_heuristic_balanced,2023-01-21,optimal,108999.0,108999.0,0.0,0.0,0.0030565261840820312,0.20933747291564941,17,0,17,0.0,19,0.20933747291564941,0.4364542541829833,0.01724175202470347,0.037503208951703414,0.4,1,17,0,17,108999.0
flow_heuristic_balanced,2023-01-22,optimal,237953.0,237953.0,0.0,0.0,0.007495880126953125,0.48178911209106445,17,0,17,0.0,19,0.4817883382835704,0.5293698825204699,0.023778960967093678,0.05666480087462967,0.4,1,17,0,17,237953.0
flow_heuristic_balanced,2023-01-23,optimal,300467.0,300467.0,0.0,0.0,0.02305150032043457,0.47159433364868164,17,0,17,0.0,19,0.47159433364868164,0.9091769157994324,0.025879045054896035,0.06566816425880896,0.4,1,17,0,17,300467.0
flow_heuristic_balanced,2023-01-24,optimal,414648.0,414648.0,0.0,0.0,0.01566767692565918,0.43477296829223633,20,17,3,0.8205128205128205,19,0.4347719504263265,0.6206244087038789,0.026601497486708946,0.06340779280954417,-1.0,-1,39,32,7,414648.0
flow_heuristic_balanced,2023-01-25,optimal,446615.0,446615.0,0.0,0.0,0.01414179801940918,0.46439290046691895,35,28,7,0.7777777777777778,19,0.46439290046691895,0.8482497634815516,0.031188903607239728,0.07568947906241011,-1.0,-1,45,35,10,446615.0
flow_heuristic_balanced,2023-01-26,optimal,526791.0,526791.0,0.0,0.0,0.020123720169067383,0.2475881576538086,27,24,3,0.8292682926829268,19,0.2475881576538086,0.545745817016732,0.02955046139257211,0.06535086620866372,-1.0,-1,41,34,7,526791.0
flow_heuristic_balanced,2023-01-27,optimal,462948.0,462948.0,0.0,0.0,0.01812577247619629,0.31354546546936035,24,20,4,0.8666666666666667,19,0.31354546546936035,0.584755262174617,0.031179515749640542,0.06938292136442967,-1.0,-1,30,26,4,462948.0
flow_heuristic_balanced,2023-01-28,optimal,405346.0,405346.0,0.0,0.0,0.012236833572387695,0.2910780906677246,28,21,7,0.71875,19,0.2910780906677246,0.8553481067876462,0.031293075886500675,0.07437719856175187,-1.0,-1,32,23,9,405346.00000000006
flow_heuristic_balanced,2023-01-29,optimal,538754.0,538754.0,0.0,0.0,0.019528865814208984,0.34762024879455566,26,21,5,0.8387096774193549,19,0.34762024879455566,0.5446778212887149,0.03150978558481573,0.07023132325258433,-1.0,-1,31,26,5,538754.0
flow_heuristic_balanced,2023-01-30,optimal,512096.0,512096.0,0.0,0.0,0.02251267433166504,0.31231045722961426,34,23,11,0.6153846153846154,19,0.31231045722961426,0.5838376646493414,0.03374458369980457,0.07250388441107847,-1.0,-1,39,24,15,512096.00000000006
flow_heuristic_balanced,2023-01-31,optimal,517423.0,517423.0,0.0,0.0,0.019254684448242188,0.304720401763916,28,21,7,0.7142857142857143,19,0.304720401763916,0.5973656105375579,0.033466771568169844,0.07286992942737422,-1.0,-1,35,25,10,517423.0
