model,shift,distance_m,base_bed_elevation_m,forecast_2033_bed_elevation_m,ten_year_change_m,development_coefficient_a,abs_a_lt_0_3,level_ratio_pass,in_sample_mae
annualized,2.5,1925.0,41.383644762335045,332.2656663287851,290.88202156645,-0.33441128811661064,False,False,0.40491932250898577
annualized,2.5,1930.0,41.123250764839916,324.95558123052876,283.83233046568887,-0.33147877642669815,False,False,0.41358354332655356
annualized,2.5,1935.0,40.800000000000004,332.9170122468138,292.1170122468138,-0.3351232829197173,False,False,0.4009336072510023
annualized,2.5,1940.0,40.550389846764496,320.8962068124474,280.3458169656829,-0.3297910141370314,False,False,0.4205777329424637
annualized,2.5,1945.0,40.33431950215053,310.2646812137988,269.93036171164823,-0.32531111994970396,False,False,0.4336589156968105
annualized,2.5,1950.0,40.18783526435339,292.14537248311865,251.95753721876525,-0.31651802477489066,False,False,0.46619256630026673
annualized,2.5,1955.0,40.07270266460046,285.6389376738318,245.56623500923132,-0.3133244365693056,False,False,0.47750571526177765
annualized,2.5,1960.0,39.945397244673764,265.9235285954175,225.97813135074372,-0.30223868064097664,False,False,0.5251667884483658
annualized,2.5,1965.0,39.80133779511371,242.6696992181096,202.8683614229959,-0.2879804103328708,True,False,0.5885880179872487
annualized,2.5,1970.0,39.67837178364891,219.03599590465566,179.35762412100675,-0.27161495387259177,True,False,0.6671222773483525
annualized,2.5,1975.0,39.57846070072168,205.9894895832893,166.41102888256762,-0.2618889123072595,True,False,0.714191318459237
annualized,2.5,1980.0,39.5,201.43150842431464,161.93150842431464,-0.258309211245535,True,False,0.7324197585042509
annualized,2.5,1985.0,39.433944954128435,200.62074749037012,161.1868025362417,-0.2567133608520446,True,False,0.7510468964386531
annualized,2.5,1990.0,39.4,197.72202474946747,158.32202474946746,-0.25310900568947886,True,False,0.7833157682563128
annualized,2.5,1995.0,39.4,193.71820858999686,154.31820858999686,-0.24962564318684222,True,False,0.8033200284055879
annualized,2.5,2000.0,39.4,177.26938493871984,137.86938493871983,-0.2375188374411853,True,False,0.8408689768851545
annualized,2.5,2005.0,39.4,160.34213617433466,120.94213617433466,-0.2227953003839179,True,False,0.8989583759715268
annualized,2.5,2010.0,39.4,158.02689152392688,118.62689152392689,-0.22035700487253024,True,False,0.9125060678081678
annualized,2.5,2015.0,39.33,162.22588707497817,122.89588707497816,-0.2245350275637114,True,False,0.8906131440867486
annualized,2.5,2020.0,39.2,159.59677955806137,120.39677955806135,-0.22481811053947934,True,False,0.8413655295582062
annualized,2.5,2025.0,39.06503916449087,118.41086288032444,79.34582371583357,-0.186537423822383,True,False,0.8940370593225146
annualized,2.5,2030.0,38.9,88.11838195890454,49.218381958904544,-0.14436388678097006,True,False,1.0183807706317836
annualized,2.5,2035.0,38.63377772443078,82.97733178529836,44.34355406086759,-0.13548917982410202,True,False,1.0967875206739508
annualized,2.5,2040.0,38.36192232227427,87.57631191653692,49.21438959426266,-0.14435872144270329,True,False,1.1232603908141647
annualized,2.5,2045.0,38.300000000000004,128.93380457814246,90.63380457814246,-0.2315059411880815,True,False,0.5726867924937947
annualized,2.5,2050.0,38.300000000000004,-41355.745571027444,-41394.04557102745,-1.0127071584961538,False,False,1.1905810386110947
annualized,3.0,1820.0,42.04196616541354,1109.2846940522525,1067.242727886839,-0.4833111183694341,False,False,0.2280166217920882
annualized,3.0,1825.0,41.90878399122808,783.6145791432878,741.7057951520596,-0.4385424822503766,False,False,0.12604442398505067
annualized,3.0,1830.0,41.800030075187976,537.9005159683485,496.1004858931605,-0.38896968165804824,False,False,0.040875994319282107
annualized,3.0,1835.0,41.72498543233083,483.0545258358546,441.32954040352377,-0.37576299457015794,False,False,0.053568202788672706
annualized,3.0,1840.0,41.69012812011664,458.19836773959025,416.5082396194736,-0.3694477967547685,False,False,0.058687057073607385
annualized,3.0,1845.0,41.67297212636734,401.8603872682188,360.1874151418515,-0.35120388636643507,False,False,0.10149187270035828
annualized,3.0,1850.0,41.65968786428882,398.3065566348115,356.6468687705227,-0.35009584943848254,False,False,0.10398817528960419
annualized,3.0,1855.0,41.642288414447506,398.93524380766564,357.2929553932181,-0.3503360138865177,False,False,0.103062470140534
annualized,3.0,1860.0,41.621377362641574,387.007366393771,345.38598903112944,-0.3458340439934102,False,False,0.12060540493843383
annualized,3.0,1865.0,41.6,358.7427124704268,317.1427124704268,-0.3363605505569817,False,False,0.14177959586328873
annualized,3.0,1870.0,41.579166666666666,352.96700445166346,311.3878377849968,-0.3370556908050614,False,False,0.11124410492940288
annualized,3.0,1875.0,41.55833333333334,325.6719507333568,284.1136174000235,-0.325359657281964,False,False,0.15414041662486153
