date,low_pred_mean_flow_m3s,normal_pred_mean_flow_m3s,high_pred_mean_flow_m3s,low_pred_mean_sediment_flux_kg_s,normal_pred_mean_sediment_flux_kg_s,high_pred_mean_sediment_flux_kg_s,low_pred_water_volume_m3,low_pred_sediment_mass_kg,low_pred_water_volume_1e8_m3,low_pred_sediment_mass_1e4_t,normal_pred_water_volume_m3,normal_pred_sediment_mass_kg,normal_pred_water_volume_1e8_m3,normal_pred_sediment_mass_1e4_t,high_pred_water_volume_m3,high_pred_sediment_mass_kg,high_pred_water_volume_1e8_m3,high_pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_m3,pred_sediment_mass_kg,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,year,month
2023-01-18,327.87322519443455,391.28268938365727,470.53826106962094,283.6480858955058,375.7862555887682,506.1234324731745,28328246.656799145,24507194.6213717,0.28328246656799144,2.45071946213717,33806824.36274799,32467932.482869573,0.3380682436274799,3.2467932482869575,40654505.75641525,43729064.56568228,0.4065450575641525,4.372906456568228,391.28268938365727,375.7862555887682,33806824.36274799,32467932.482869573,0.3380682436274799,3.2467932482869575,2023,1
2023-01-19,326.55654787671835,388.01043628326755,466.22558561232984,278.3671433646277,369.74237730084184,480.5498750313383,28214485.736548465,24050921.18670383,0.28214485736548467,2.405092118670383,33524101.694874316,31945741.398792736,0.33524101694874314,3.1945741398792737,40281890.5969053,41519509.202707626,0.402818905969053,4.151950920270763,388.01043628326755,369.74237730084184,33524101.694874316,31945741.398792736,0.33524101694874314,3.1945741398792737,2023,1
2023-01-20,325.1164320604662,385.0215766756928,463.6887176962762,275.6613910149576,364.4709959273375,470.7426323453295,28090059.73002428,23817144.183692336,0.2809005973002428,2.3817144183692336,33265864.22477986,31490294.048121963,0.3326586422477986,3.1490294048121963,40062705.20895827,40672163.43463647,0.40062705208958266,4.067216343463647,385.0215766756928,364.4709959273375,33265864.22477986,31490294.048121963,0.3326586422477986,3.1490294048121963,2023,1
2023-01-21,320.034880537405,382.50929103381293,453.54124603206174,272.4421686509807,360.4438454415478,445.6373853025079,27651013.67843179,23539003.371444732,0.2765101367843179,2.353900337144473,33048802.745321438,31142348.24614973,0.3304880274532144,3.114234824614973,39185963.65717013,38503070.090136684,0.3918596365717013,3.8503070090136684,382.50929103381293,360.4438454415478,33048802.745321438,31142348.24614973,0.3304880274532144,3.114234824614973,2023,1
2023-01-22,318.4918993057063,380.2829947948882,447.30055095856994,265.8763498440707,357.28909835303307,433.559844936089,27517700.10001302,22971716.62652771,0.2751770010001302,2.2971716626527714,32856450.750278343,30869778.097702056,0.32856450750278343,3.0869778097702056,38646767.60282044,37459570.60247809,0.3864676760282044,3.7459570602478087,380.2829947948882,357.28909835303307,32856450.750278343,30869778.097702056,0.32856450750278343,3.0869778097702056,2023,1
2023-01-23,314.829890515808,378.5938120441511,445.0681071924428,263.15330940304295,355.4651010006154,430.4794170438024,27201302.54056581,22736445.93242291,0.27201302540565814,2.273644593242291,32710505.360614654,30712184.72645317,0.32710505360614656,3.071218472645317,38453884.46142706,37193421.63258453,0.3845388446142706,3.7193421632584527,378.5938120441511,355.4651010006154,32710505.360614654,30712184.72645317,0.32710505360614656,3.071218472645317,2023,1
2023-01-24,306.1480494521165,377.38372643804007,444.8144204008375,255.04580684111397,354.6219136136268,426.0875032996162,26451191.472662862,22035957.711072247,0.2645119147266286,2.2035957711072247,32605953.96424666,30639333.33621736,0.3260595396424666,3.063933333621736,38431965.92263236,36813960.28508684,0.3843196592263236,3.681396028508684,377.38372643804007,354.6219136136268,32605953.96424666,30639333.33621736,0.3260595396424666,3.063933333621736,2023,1
2023-01-25,302.0540059173426,376.88382645190205,444.8144204008375,238.6676481463953,355.57067525218713,422.1577029364047,26097466.1112584,20620884.799848553,0.260974661112584,2.062088479984855,32562762.60544434,30721306.341788966,0.3256276260544434,3.0721306341788965,38431965.92263236,36474425.53370537,0.3843196592263236,3.647442553370537,376.88382645190205,355.57067525218713,32562762.60544434,30721306.341788966,0.3256276260544434,3.0721306341788965,2023,1
2023-01-26,295.902654073637,377.0002680600527,444.8144204008375,236.9615882522652,357.5883166306386,422.1860088299502,25565989.311962236,20473481.224995714,0.25565989311962234,2.0473481224995713,32572823.16038855,30895630.556887172,0.32572823160388553,3.0895630556887173,38431965.92263236,36476871.1629077,0.3843196592263236,3.64768711629077,377.0002680600527,357.5883166306386,32572823.16038855,30895630.556887172,0.32572823160388553,3.0895630556887173,2023,1
2023-01-27,293.2898725212938,377.82614077393106,445.0681071924428,226.97427526664154,361.79881941221646,422.2143218193894,25340244.98583978,19610577.383037828,0.2534024498583978,1.9610577383037828,32644178.562867645,31259417.997215502,0.32644178562867643,3.1259417997215504,38453884.46142706,36479317.40519524,0.3845388446142706,3.647931740519524,377.82614077393106,361.79881941221646,32644178.562867645,31259417.997215502,0.32644178562867643,3.1259417997215504,2023,1
