model,shift,year,distance_m,annual_change_m,cumulative_change_m,bed_elevation_m
annualized,5.0,2029,1860.0,13.659289302498507,41.805803136442044,83.42718049908362
annualized,5.0,2030,1860.0,17.811403997730764,59.61720713417281,101.23858449681438
annualized,5.0,2031,1860.0,22.887458300890856,82.50466543506366,124.12604279770522
annualized,5.0,2032,1860.0,29.09304971150786,111.59771514657152,153.21909250921308
annualized,5.0,2033,1860.0,36.67952583166115,148.27724097823267,189.89861834087424
annualized,5.0,2023,1865.0,0.0,0.0,41.6
annualized,5.0,2024,1865.0,1.784279414507182,1.784279414507182,43.38427941450718
annualized,5.0,2025,1865.0,3.255094432763258,5.03937384727044,46.63937384727044
annualized,5.0,2026,1865.0,5.044778513708849,10.084152360979289,51.68415236097929
annualized,5.0,2027,1865.0,7.222461682451417,17.306614043430706,58.90661404343071
annualized,5.0,2028,1865.0,9.87226118277389,27.178875226204596,68.7788752262046
annualized,5.0,2029,1865.0,13.09653066912135,40.275405895325946,81.87540589532594
annualized,5.0,2030,1865.0,17.01981381538441,57.295219710710356,98.89521971071036
annualized,5.0,2031,1865.0,21.793655056300196,79.08887476701055,120.68887476701056
annualized,5.0,2032,1865.0,27.60245328570531,106.69132805271586,148.29132805271587
annualized,5.0,2033,1865.0,34.670584622110624,141.3619126748265,182.9619126748265
annualized,5.0,2023,1870.0,0.0,0.0,41.579166666666666
annualized,5.0,2024,1870.0,1.67436135647079,1.67436135647079,43.253528023137456
annualized,5.0,2025,1870.0,3.1035036172857424,4.777864973756532,46.3570316404232
annualized,5.0,2026,1870.0,4.838659815998582,9.616524789755115,51.195691456421784
annualized,5.0,2027,1870.0,6.945354941097477,16.561879730852592,58.14104639751926
annualized,5.0,2028,1870.0,9.503144466563626,26.065024197416218,67.64419086408289
annualized,5.0,2029,1870.0,12.608618618300326,38.67364281571655,80.25280948238321
annualized,5.0,2030,1870.0,16.379049926696368,55.052692742412916,96.63185940907958
annualized,5.0,2031,1870.0,20.95682180844993,76.00951455086285,117.58868121752951
annualized,5.0,2032,1870.0,26.514805414916424,102.52431996577927,144.10348663244594
annualized,5.0,2033,1870.0,33.26288779378737,135.78720775956663,177.36637442623328
annualized,5.0,2023,1875.0,0.0,0.0,41.55833333333334
annualized,5.0,2024,1875.0,1.679726423203352,1.679726423203352,43.238059756536686
annualized,5.0,2025,1875.0,3.0749262617211564,4.754652684924508,46.312986018257845
annualized,5.0,2026,1875.0,4.761542614340215,9.516195299264723,51.07452863259806
annualized,5.0,2027,1875.0,6.800443883096165,16.316639182360888,57.874972515694225
annualized,5.0,2028,1875.0,9.265212102187178,25.581851284548065,67.1401846178814
annualized,5.0,2029,1875.0,12.244798444564495,37.82664972911256,79.3849830624459
annualized,5.0,2030,1875.0,15.846733386323663,53.67338311543622,95.23171644876956
annualized,5.0,2031,1875.0,20.201007380717854,73.87439049615408,115.43272382948741
annualized,5.0,2032,1875.0,25.46476209167824,99.33915258783232,140.89748592116564
annualized,5.0,2033,1875.0,31.827961489058538,131.16711407689087,172.7254474102242
annualized,5.0,2023,1880.0,0.0,0.0,41.53515625
annualized,5.0,2024,1880.0,1.77911093687932,1.77911093687932,43.31426718687932
annualized,5.0,2025,1880.0,3.1541676727653183,4.933278609644638,46.46843485964464
annualized,5.0,2026,1880.0,4.808137240217405,9.741415849862044,51.276572099862044
annualized,5.0,2027,1880.0,6.797593572210076,16.53900942207212,58.07416567207212
annualized,5.0,2028,1880.0,9.190585907010373,25.729595329082493,67.26475157908249
annualized,5.0,2029,1880.0,12.06896640841964,37.79856173750213,79.33371798750213
annualized,5.0,2030,1880.0,15.531189914281597,53.32975165178373,94.86490790178374
annualized,5.0,2031,1880.0,19.695681578491488,73.02543323027521,114.56058948027521
annualized,5.0,2032,1880.0,24.704887596505557,97.73032082678077,139.26547707678077
annualized,5.0,2033,1880.0,30.730147569181867,128.46046839596264,169.99562464596264
annualized,5.0,2023,1885.0,0.0,0.0,41.50925925925927
annualized,5.0,2024,1885.0,1.8004590619429024,1.8004590619429024,43.30971832120217
annualized,5.0,2025,1885.0,3.206229038240412,5.006688100183315,46.51594735944258
annualized,5.0,2026,1885.0,4.902595459316004,9.909283559499318,51.41854281875858
annualized,5.0,2027,1885.0,6.9496295282409335,16.85891308774025,58.368172346999515
annualized,5.0,2028,1885.0,9.41982018238187,26.27873327012212,67.78799252938138
annualized,5.0,2029,1885.0,12.400641049232263,38.67937431935438,80.18863357861365
annualized,5.0,2030,1885.0,15.997648035456521,54.6770223548109,96.18628161407017
annualized,5.0,2031,1885.0,20.338217240011616,75.01523959482252,116.52449885408178
annualized,5.0,2032,1885.0,25.57605555717015,100.59129515199267,142.10055441125195
annualized,5.0,2033,1885.0,31.896643697523473,132.48793884951613,173.9971981087754
annualized,5.0,2023,1890.0,0.0,0.0,41.5
annualized,5.0,2024,1890.0,1.793282617421383,1.793282617421383,43.29328261742138
annualized,5.0,2025,1890.0,3.2080722574488902,5.001354874870273,46.50135487487027
annualized,5.0,2026,1890.0,4.917510278569225,9.918865153439498,51.4188651534395
annualized,5.0,2027,1890.0,6.98296104621474,16.901826199654238,58.40182619965424
annualized,5.0,2028,1890.0,9.47856885466377,26.380395054318008,67.880395054318
annualized,5.0,2029,1890.0,12.49391951377983,38.87431456809784,80.37431456809784
annualized,5.0,2030,1890.0,16.13725624587731,55.01157081397515,96.51157081397514
annualized,5.0,2031,1890.0,20.53936533502123,75.55093614899639,117.05093614899639
annualized,5.0,2032,1890.0,25.858271013434063,101.40920716243045,142.90920716243045
annualized,5.0,2033,1890.0,32.284908119184166,133.69411528161461,175.19411528161461
annualized,5.0,2023,1895.0,0.0,0.0,41.5
annualized,5.0,2024,1895.0,1.7792389747184174,1.7792389747184174,43.27923897471842
annualized,5.0,2025,1895.0,3.2169408289366643,4.996179803655082,46.49617980365508
annualized,5.0,2026,1895.0,4.9595421902133126,9.955721993868394,51.455721993868394
annualized,5.0,2027,1895.0,7.07170438532598,17.027426379194374,58.527426379194374
annualized,5.0,2028,1895.0,9.631801741840668,26.659228121035042,68.15922812103504
annualized,5.0,2029,1895.0,12.734829762131426,39.39405788316647,80.89405788316647
annualized,5.0,2030,1895.0,16.495930046152665,55.88998792931913,97.38998792931913
annualized,5.0,2031,1895.0,21.05466275947809,76.94465068879722,118.44465068879722
annualized,5.0,2032,1895.0,26.58018518168913,103.52483587048636,145.02483587048636
annualized,5.0,2033,1895.0,33.27752849140134,136.8023643618877,178.3023643618877
annualized,5.0,2023,1900.0,0.0,0.0,41.5
annualized,5.0,2024,1900.0,1.7729694683730628,1.7729694683730628,43.27296946837306
annualized,5.0,2025,1900.0,3.2267843898627007,4.9997538582357635,46.49975385823576
annualized,5.0,2026,1900.0,4.9926600456898385,9.992413903925602,51.4924139039256
annualized,5.0,2027,1900.0,7.13758013541333,17.129994039338932,58.62999403933893
annualized,5.0,2028,1900.0,9.742906380281035,26.872900419619967,68.37290041961997
annualized,5.0,2029,1900.0,12.90746475927017,39.780365178890136,81.28036517889014
annualized,5.0,2030,1900.0,16.75129420433784,56.531659383227975,98.03165938322798
annualized,5.0,2031,1900.0,21.420199951461143,77.95185933468912,119.45185933468912
